question,true_short_answer,predicted_short_answer
"[başlık] Bir moda tasarımı portföyü nasıl hazırlanır [başlık] Nelerin dahil edileceğine ilişkin talimatlar veya rehberlik için kontrol edin. [adım] Bir tasarım programına başvuruyorsanız, portföyünüzde ne görmek istediklerine dair iyi bir fikir vermelidirler. Profesyonel bir portföy tasarlıyorsanız açık talimatlarınız olmayabilir.
Şıklar:
A- Ancak, bilgiyi bulmanın ve onu her zamankinden daha iyi derinlemesine açıklamanın gerektiğini unutmayın. Burada size rehberlik etmek için kullanabileceğiniz bazı yararlı rehberlik broşürleri bulunmaktadır.
B- Genel olarak yaratıcı araştırmayı, 3 boyutluyu 2 boyutluya çevirme yeteneğinizi gösteren çizimleri, renk çalışmalarını ve varsa yaptığınız 3 boyutlu çalışmanın fotoğraflarını eklemelisiniz. [alt adımlar] Portföyünüzü, yapmak istediğiniz belirli uygulamaya veya iş türüne göre uyarlayın.
C- Ne ekleyeceğinizden emin değilseniz sorun. Farklı insanlardan öğrenecek deneyiminiz var mı yoksa doğru iş türünü bulmak için profesyonel deneyime mi ihtiyacınız var? [alt adımlar] Mükemmel, uygulanabilir ürünleriniz olduğundan emin olun.
D- İstediğiniz çözüm noktasına ulaşmak için birine tüyo vermeniz gerekebilir. [alt adımlar] Profesyonel bir portföy tasarlıyor olsanız bile yine de profesyonel olmanız gerektiğini unutmayın.",B,B
"[header] Okulda nasıl favori öğretmen olunur? [title] Mantıklı olun. [adım] Öğrenciler kararlı ama adil olan öğretmenlere yanıt verirler. Küçük ihlallerden dolayı çocukları çok fazla azarlamayın; makul olun ve onları sorumlu tutun, ancak aşırıya kaçmayın.
Şıklar:
A- Onları sık sık cezalandırsanız bile yine de iyi bir öğretmen olabilirsiniz. [alt adımlar] İlk gününde kaba davranan çocukları eleştirmeyin.
B- Boyunca saygılı bir tavır sergileyin; karşılığında aynısını alma olasılığınız daha yüksektir. İmajınızı bozacağından sınıfın önünde çocukları aşağılayıcı herhangi bir kelime kullanmadığınızdan emin olun.
C- Araştırmalar, öğrencileri sinirlendirmenin onların olumsuz öz saygı geliştirmelerine veya başka türlü sahip olamayacakları öğretmenlerle benzerliklerini sorgulamalarına yol açabileceğini göstermiştir. [başlık] Okuma ve öğrenme arasındaki farklara ilişkin temel anlayışı oluşturun.
D- Bir hatayı düzeltme fırsatı verilmeden önce her öğrenciye her ödevi tamamlama sırası verin. [alt adımlar] Öğretmen olduğunuzda, örneğin masa oyunundan önce pasif bir şekilde azarlamayın.",B,B
"[header] Alışveriş merkezinde bir çocuk nasıl bulunur [title] Çocuğun gerçekten kaybolup kaybolmadığını belirleyin. [adım] Çocukların gerçekten oyunbaz doğaları vardır ve alışveriş merkezleri biraz eğlenmek için birçok fırsat sunar. Çocuğun adını söyleyerek yakın çevrenize bir göz atın.
Şıklar:
A- O, köşede ellerine geçen her şeyle oynuyor olabilir. Hatta bazen eğlenmek için sizden saklanabilirler.
B- Ayrıca çocuğun ebeveynlerinin de sizi götürmesine izin verebilirsiniz, çünkü eğer yüzlerinde bir gülümsemeyle çocuk hakkında sorular sorarlarsa bu daha eğlenceli olabilir. [alt adımlar] Ayrıca çocuğun bir akrabanın yanında mı yaşadığını, adını söyleyerek veya bu kişinin annesi olup olmadığını öğrenin.
C- Bir alışveriş merkezinde çocuk bulma konusunda yardıma ihtiyacınız varsa, örneğin bir okul öğrencisinin koltuk istemesi durumunda, çocuğa çocuğun alışveriş merkezinde nerede yürüdüğünü sorun. Çocuğunuz odasında görünüyorsa, çocuk kaybolmayabilir ve etrafta dolaşmayabilir.
D- Zaten alışveriş merkezinde oynayıp oynamadıklarını görün. [title] Çocuğun çocuk olup olmadığını öğrenin.",A,A
"Balıkçılık yemleriyle ilgili bir video için ekrana bir tanıtım geliyor. birkaç adam
Şıklar:
A- Kamera büyük bir nehrin etrafında dönerken balık yakalamaya çalışırken gösteriliyor.
B- Buzda balık tutmak için kullandıkları farklı yemleri gösterin.
C- Karanlıkta balık tutarken ve yemleri suya yerleştirirken ve dalışlarının sonuna doğru giderken çeşitli numaralar yaparken gösteriliyor.
D- yemlerini yakıp kayalara konan balıkları yakalamaya çalışırken gösteriliyor.",B,C
"Birçok insan sahilde. Bir adam suya taklalar atmaya başlar. O
Şıklar:
A- snowboard yapıyor.
B- bir köpeğe yaklaşır.
C- bunu birçok farklı kez yapıyor.
D- daha sonra birkaç rampa daha koşar.",C,C
"[başlık] Boya renkleri nasıl yapılır [başlık] Boya karıştırma malzemelerini toplayın. [adım] Başlamak için bir palete ve bir boya bıçağına veya fırçaya ihtiyacınız olacak. Boyayı boya bıçağıyla karıştırmak, fırçayla karşılaştırıldığında daha eşit ve tekdüze bir renk elde edilmesini sağlar.
Şıklar:
A- Boyama yüzeyini hazırlamak için bir kovaya veya palete ihtiyacınız olacak. Ayrıca bir ölçüm çubuğuna da ihtiyacınız olacak.
B- [alt adımlar] Boyayı karıştırmak için fırça kullanıyorsanız, karıştırma arasında fırçaları temizlediğinizden emin olun. Önceki rengin boyasının şu anda karıştırmakta olduğunuz iki renkle karışmasını istemezsiniz.
C- [alt adımlar] Palet bıçağı, birkaç farklı renkte sunulan ve iki sapı olan daha hafif bir fırçadır. Bıçağın boyayla kullanılması güvenli kabul edilir, ancak camı kırarak, yağlı kağıdı keserek, aynayı silerek veya fırçayı yıkayarak parmaklarınıza boya bulaşma olasılığı yüksektir.
D- Daha canlı, daha zengin bir ton istiyorsanız az miktarda boya satın almanız gerekecektir. Bu nedenle bir palet bıçağı veya fırça işe yarayacaktır.",B,C
"[header] Biscotti nasıl yapılır [title] Tezgahın üzerinde tereyağını yumuşatın. [adım] Tereyağı yumuşarken yumurtaları oda sıcaklığına kadar ısıtın. [title] Fırınınızı 300 fahrenhayt dereceye (149 santigrat) önceden ısıtın.
Şıklar:
A- [title] Tereyağını eritmek için tavaya hızla pudra şekeri ekleyin. [adım] Tereyağı yeterince eridiğinde bir tutam tuz ekleyin.
B- [title] Sıkıştırma tavasını buzdolabından çıkarın. [adım] Bir tereyağı bıçağı kullanarak yumuşatılmış tereyağını 4 eşit parçaya hafifçe dilimleyin.
C- [title] Karıştırma kabına şekeri ve tereyağını ekleyin. [adım] Karışımı çok hafif olana kadar orta hızda krema haline getirin.
D- [title] Yumurtaları kırın ve ezin. [adım] Ayrıca yumurtaları bir kaseye bastırıp ezerek macun haline getirebilirsiniz.",C,C
"Amigo kızlar gruptaki bir spor salonunda dururlar. kızlar
Şıklar:
A- bastonla topa vur.
B- yayılıp yere atlayın.
C- daha sonra bir rutin gerçekleştirin.
D- kollarını kaldırın ve tezahürat çizgisine devam edin.",C,C
"Mavi gömlekli bir adam, bir vitrin odasında hava hokeyi masa oyununun yanında konuşuyor, aralarına dört adamın hava masa hokeyi oyununu gösteren videosu serpiştirilmiş. bir adam
Şıklar:
A- Maviler diski atar ve erkekler diski geri atar.
B- Mavi gömlekli, duvara dayalı yeşil bir kase ve oyuncuların isimlerinin yazılı olduğu beyaz tahta manzaralı bir vitrin odasındaki masanın yanında konuşuyor.
C- buz kortunda oturup antrenman yapıyor.
D- Bir hava hokeyi masa oyununun önünde dururken bir sergi salonundan konuşmaya başlar.",D,B
"Bir adam bir bisikletle rafın üzerinde duruyor ve tekerlekler de dahil olmak üzere bisikletin farklı parçalarını ve özelliklerini gösteriyor. adam
Şıklar:
A- bisikleti çalıştırır ve zamanlayıcı kapanır.
B- krankı döndürür ve tekerlek bisikletin üzerinde döner.
C- Daha sonra alüminyum aparatı monte ederek kulpları, tekerlekleri ve bağlantı dişlilerini tek bir yerden sökmeye başlar.
D- sabun ve sünger sürerek iyice dezenfekte eder.",B,B
"[header] Kına külahı nasıl yapılır [title] Malzemelerinizi toplayın. [adım] Tek ihtiyacınız olan bir mylar veya selofan kağıdı, bant ve makastır. [başlık] Mylar hediye paketi kağıdından veya selofan kağıdından 12 ""x12"" (30,5 x 30,5 cm) boyutunda bir kare kesin.
Şıklar:
A- [başlık] İki köşeye siyah bir fitil, dekoratif bir iplik ve kırmızı bir ipek kurdele takın. [adım] İpek kullanıyorsanız kırmızı kurdele veya siyah ip kullanmayı düşünün.
B- [adım] Plastik fermuarlı bir dondurucu torbası da işe yarayacaktır, ancak o kadar da işe yaramayacaktır. Daha küçük boyutlu bir koni için daha küçük bir kare, daha büyük bir koni için daha büyük bir kare kesmeniz gerektiğini unutmayın.
C- [başlık] Sayfayı diğer tarafa katlayın. [adım] [başlık] Çift taraflı bant veya maskeleme bandı kullanarak sayfayı yerine bantlayın.
D- [adım] Her karenin genişliği yaklaşık 24 inç (61 cm) olmalıdır. [başlık] Her bir karenin kenarını kesin.",B,C
"[header] Kol düğmeleri nasıl takılır [title] Doğru gömleği giyin. [adım] Kol düğmeleri en çok Fransız manşetli (çift manşet olarak da bilinir) elbise gömlekleriyle giyilir. Bu tür gömleklerde, manşet malzemesinin üzerine katlanarak katmanlar oluşturan ekstra uzun manşetler bulunur.
Şıklar:
A- Fransız manşetlerin yanlarında manşeti bağlamak için düğmeler yoktur. Bunun yerine manşetin her iki yanında kol düğmelerinin eklendiği küçük delikler bulunur.
B- Bu tip gömlekler hem ısıdan korunmaya hem de kolay ayarlamaya olanak sağlar. Kol düğmeleri aynı zamanda üst düğmeli gömleklerle de uyumludur.
C- Giyinebilmeniz için kolların manşetin üzerinde bitmesi sorun değil. Bu özellikle kolsuz kol düğmeleri için kullanışlıdır.
D- Manşetin altından dikey şeritler görünüyor; klasik fransız manşet stiline benziyor. [alt adımlar] Bol ve bol gömleklerden kaçının.",A,B
"[header] Pasta tutucusu nasıl yapılır [title] Bir düzine yumurta için hazırlanmış bir yumurta kartonunu boşaltın. [adım] Kapağı kapatın. [başlık] Yumurta kartonunu ters çevirin.
Şıklar:
A- [adım] Bunu yapmak, içeriğin yaklaşık üçte ikisinin iç kısımdan çıkarılmasını sağlayacaktır. [alt adımlar] Kartonun beyaz kısmını çıkarın.
B- [adım] Bir kaşık veya spatula kullanarak yumurta sarılarını atarak bunları çıkarın. Çeyrek bardak yumurta sarısını ölçün (17.
C- [adım] Küçük bir tereyağlı kağıt topu yuvarlayın. Elinizde rahat hissedene kadar yuvarlayın.
D- [başlık] Metal şişle her yumurta deliğinin ortasına bir delik açın. [adım] Açılan her deliğin çubuk için yeterince geniş olup olmadığını bir lolipop çubuğuyla kontrol edin.",D,A
"[header] Bir klik nasıl başlatılır [title] Saçınızdan ve yüzünüzden en iyi şekilde yararlanın. [alt adımlar] Saçtan başlayarak yukarıdan aşağıya. Her iki günde bir şampuan/durum.
Şıklar:
A- (şampuan ve saç kremini de aynı şekilde kullanabilirsiniz.) saçlarınız daha ince ve daha az doğal olana kadar günde en az iki kez yıkadığınızdan veya durulanmayan saç kremi uyguladığınızdan emin olun.
B- Her gün şampuanlamak saçı kurutur ve bunun kuru, kıvırcık saçlara yol açtığını hepimiz biliriz! Belirli saç tipleri için özel olarak üretilmiş sistemleri kullanın: dalgalı, düz, kıvırcık, kuru, kıvırcık, boyalı vb. Ayrıca parlatıcı sprey, parlaklık serumu, kabarma önleyici serum ve şekillendirici balmumu veya saç şekillendirici köpük kullanın.
C- Cilt tonunuza uygun bir saç spreyi kullanın. Bu tarz zor olacaktır çünkü uygun bir kafa gerektirir.
D- Saçınızı kurutmayı/temizlemeyi unutmayın. Saçlarınıza kuaförde fön çekmek ihtiyacınız olan canlılığı sağlar.",B,B
"Yakınlarda duran bir antrenör, parmaklıkların altından mini bir trambolini çıkarıyor. Jimnastikçi barlardan atlıyor ve poposuna iniyor. O
Şıklar:
A- kendini yerden kaldırıyor ve çubuklardan ileri doğru takla atıyor.
B- daha sonra çubuklardan iner.
C- ayağa kalkar ve kollarını başının üstüne kaldırır.
D- Yatağa çıkıyor ve trambolinde geriye doğru giderek yere düşüyor.",C,B
"[başlık] Ön anten nasıl yapılır [başlık] Önkoşullarda uzmanlaşın. [adım] Jimnastik becerileri birbirinden gelişir ve ön anteni denemeden önce benzer, daha temel becerilerde uzmanlaşmak isteyeceksiniz. Buna ön geçiş, ön el yayı çıkışı ve yan anten dahildir.
Şıklar:
A- [alt adımlar] Belirli becerilere yönelik basit diyagramlara göz atın. Bazı uzmanlar, bir trambolinin üzerinde bir tarih dansı pozisyonundan ön anten denemeyi öneriyor.
B- [alt adımlar] Bu beceriler, ön antenle karşılaştırılabilir nitelikler ve hareketler içerir ve ustalık, daha iyi uygulamayla sonuçlanacaktır. [title] Koçunuza hazır olup olmadığınızı sorun.
C- Tüm temel hareketler doğal olarak gelmelidir, ancak daha gelişmiş hareketlerin pratik yapılması gerekecektir. [alt adımlar] Ön ribaundlarda ustalaşmak için vücudunuzu yaklaşık yarım ayak öne doğru indirin.
D- Bunların en iyi kombinasyonu yeni becerilerinize yardımcı olacaktır. [alt adımlar] Antrenman yaparken üst vücut gücünü ve dengesini geliştirmek için, birçok jimnastikçinin sırayla hem ön koşulları mükemmelleştirmesi hem de hava parçaları yapması gerekir.",B,B
