ind,activity_label,ctx_a,ctx_b,ctx,endings,source_id,split,split_type,label,question,answer,answerKey
5837,İş Dünyası,"[başlık] Bir moda tasarımı portföyü nasıl hazırlanır [başlık] Nelerin dahil edileceğine ilişkin talimatlar veya rehberlik için kontrol edin. [adım] Bir tasarım programına başvuruyorsanız, portföyünüzde ne görmek istediklerine dair iyi bir fikir vermelidirler. Profesyonel bir portföy tasarlıyorsanız açık talimatlarınız olmayabilir.",,"[başlık] Bir moda tasarımı portföyü nasıl hazırlanır [başlık] Nelerin dahil edileceğine ilişkin talimatlar veya rehberlik için kontrol edin. [adım] Bir tasarım programına başvuruyorsanız, portföyünüzde ne görmek istediklerine dair iyi bir fikir vermelidirler. Profesyonel bir portföy tasarlıyorsanız açık talimatlarınız olmayabilir.","['Ancak, bilgiyi bulmanın ve onu her zamankinden daha iyi derinlemesine açıklamanın gerektiğini unutmayın. Burada size rehberlik etmek için kullanabileceğiniz bazı yararlı rehberlik broşürleri bulunmaktadır.'
 'Genel olarak yaratıcı araştırmayı, 3 boyutluyu 2 boyutluya çevirme yeteneğinizi gösteren çizimleri, renk çalışmalarını ve varsa yaptığınız 3 boyutlu çalışmanın fotoğraflarını eklemelisiniz. [alt adımlar] Portföyünüzü, yapmak istediğiniz belirli uygulamaya veya iş türüne göre uyarlayın.'
 'Ne ekleyeceğinizden emin değilseniz sorun. Farklı insanlardan öğrenecek deneyiminiz var mı yoksa doğru iş türünü bulmak için profesyonel deneyime mi ihtiyacınız var? [alt adımlar] Mükemmel, uygulanabilir ürünleriniz olduğundan emin olun.'
 'İstediğiniz çözüm noktasına ulaşmak için birine tüyo vermeniz gerekebilir. [alt adımlar] Profesyonel bir portföy tasarlıyor olsanız bile yine de profesyonel olmanız gerektiğini unutmayın.']",wikihow~9678,train,indomain,1,"[başlık] Bir moda tasarımı portföyü nasıl hazırlanır [başlık] Nelerin dahil edileceğine ilişkin talimatlar veya rehberlik için kontrol edin. [adım] Bir tasarım programına başvuruyorsanız, portföyünüzde ne görmek istediklerine dair iyi bir fikir vermelidirler. Profesyonel bir portföy tasarlıyorsanız açık talimatlarınız olmayabilir.
Şıklar:
A- Ancak, bilgiyi bulmanın ve onu her zamankinden daha iyi derinlemesine açıklamanın gerektiğini unutmayın. Burada size rehberlik etmek için kullanabileceğiniz bazı yararlı rehberlik broşürleri bulunmaktadır.
B- Genel olarak yaratıcı araştırmayı, 3 boyutluyu 2 boyutluya çevirme yeteneğinizi gösteren çizimleri, renk çalışmalarını ve varsa yaptığınız 3 boyutlu çalışmanın fotoğraflarını eklemelisiniz. [alt adımlar] Portföyünüzü, yapmak istediğiniz belirli uygulamaya veya iş türüne göre uyarlayın.
C- Ne ekleyeceğinizden emin değilseniz sorun. Farklı insanlardan öğrenecek deneyiminiz var mı yoksa doğru iş türünü bulmak için profesyonel deneyime mi ihtiyacınız var? [alt adımlar] Mükemmel, uygulanabilir ürünleriniz olduğundan emin olun.
D- İstediğiniz çözüm noktasına ulaşmak için birine tüyo vermeniz gerekebilir. [alt adımlar] Profesyonel bir portföy tasarlıyor olsanız bile yine de profesyonel olmanız gerektiğini unutmayın.","Genel olarak yaratıcı araştırmayı, 3 boyutluyu 2 boyutluya çevirme yeteneğinizi gösteren çizimleri, renk çalışmalarını ve varsa yaptığınız 3 boyutlu çalışmanın fotoğraflarını eklemelisiniz. [alt adımlar] Portföyünüzü, yapmak istediğiniz belirli uygulamaya veya iş türüne göre uyarlayın.",B
4239,İş Dünyası,"[header] Okulda nasıl favori öğretmen olunur? [title] Mantıklı olun. [adım] Öğrenciler kararlı ama adil olan öğretmenlere yanıt verirler. Küçük ihlallerden dolayı çocukları çok fazla azarlamayın; makul olun ve onları sorumlu tutun, ancak aşırıya kaçmayın.",,"[header] Okulda nasıl favori öğretmen olunur? [title] Mantıklı olun. [adım] Öğrenciler kararlı ama adil olan öğretmenlere yanıt verirler. Küçük ihlallerden dolayı çocukları çok fazla azarlamayın; makul olun ve onları sorumlu tutun, ancak aşırıya kaçmayın.","['Onları sık sık cezalandırsanız bile yine de iyi bir öğretmen olabilirsiniz. [alt adımlar] İlk gününde kaba davranan çocukları eleştirmeyin.'
 'Boyunca saygılı bir tavır sergileyin; karşılığında aynısını alma olasılığınız daha yüksektir. İmajınızı bozacağından sınıfın önünde çocukları aşağılayıcı herhangi bir kelime kullanmadığınızdan emin olun.'
 'Araştırmalar, öğrencileri sinirlendirmenin onların olumsuz öz saygı geliştirmelerine veya başka türlü sahip olamayacakları öğretmenlerle benzerliklerini sorgulamalarına yol açabileceğini göstermiştir. [başlık] Okuma ve öğrenme arasındaki farklara ilişkin temel anlayışı oluşturun.'
 'Bir hatayı düzeltme fırsatı verilmeden önce her öğrenciye her ödevi tamamlama sırası verin. [alt adımlar] Öğretmen olduğunuzda, örneğin masa oyunundan önce pasif bir şekilde azarlamayın.']",wikihow~7061,train,indomain,1,"[header] Okulda nasıl favori öğretmen olunur? [title] Mantıklı olun. [adım] Öğrenciler kararlı ama adil olan öğretmenlere yanıt verirler. Küçük ihlallerden dolayı çocukları çok fazla azarlamayın; makul olun ve onları sorumlu tutun, ancak aşırıya kaçmayın.
Şıklar:
A- Onları sık sık cezalandırsanız bile yine de iyi bir öğretmen olabilirsiniz. [alt adımlar] İlk gününde kaba davranan çocukları eleştirmeyin.
B- Boyunca saygılı bir tavır sergileyin; karşılığında aynısını alma olasılığınız daha yüksektir. İmajınızı bozacağından sınıfın önünde çocukları aşağılayıcı herhangi bir kelime kullanmadığınızdan emin olun.
C- Araştırmalar, öğrencileri sinirlendirmenin onların olumsuz öz saygı geliştirmelerine veya başka türlü sahip olamayacakları öğretmenlerle benzerliklerini sorgulamalarına yol açabileceğini göstermiştir. [başlık] Okuma ve öğrenme arasındaki farklara ilişkin temel anlayışı oluşturun.
D- Bir hatayı düzeltme fırsatı verilmeden önce her öğrenciye her ödevi tamamlama sırası verin. [alt adımlar] Öğretmen olduğunuzda, örneğin masa oyunundan önce pasif bir şekilde azarlamayın.",Boyunca saygılı bir tavır sergileyin; karşılığında aynısını alma olasılığınız daha yüksektir. İmajınızı bozacağından sınıfın önünde çocukları aşağılayıcı herhangi bir kelime kullanmadığınızdan emin olun.,B
10703,Aile hayatı,[header] Alışveriş merkezinde bir çocuk nasıl bulunur [title] Çocuğun gerçekten kaybolup kaybolmadığını belirleyin. [adım] Çocukların gerçekten oyunbaz doğaları vardır ve alışveriş merkezleri biraz eğlenmek için birçok fırsat sunar. Çocuğun adını söyleyerek yakın çevrenize bir göz atın.,,[header] Alışveriş merkezinde bir çocuk nasıl bulunur [title] Çocuğun gerçekten kaybolup kaybolmadığını belirleyin. [adım] Çocukların gerçekten oyunbaz doğaları vardır ve alışveriş merkezleri biraz eğlenmek için birçok fırsat sunar. Çocuğun adını söyleyerek yakın çevrenize bir göz atın.,"['O, köşede ellerine geçen her şeyle oynuyor olabilir. Hatta bazen eğlenmek için sizden saklanabilirler.'
 'Ayrıca çocuğun ebeveynlerinin de sizi götürmesine izin verebilirsiniz, çünkü eğer yüzlerinde bir gülümsemeyle çocuk hakkında sorular sorarlarsa bu daha eğlenceli olabilir. [alt adımlar] Ayrıca çocuğun bir akrabanın yanında mı yaşadığını, adını söyleyerek veya bu kişinin annesi olup olmadığını öğrenin.'
 'Bir alışveriş merkezinde çocuk bulma konusunda yardıma ihtiyacınız varsa, örneğin bir okul öğrencisinin koltuk istemesi durumunda, çocuğa çocuğun alışveriş merkezinde nerede yürüdüğünü sorun. Çocuğunuz odasında görünüyorsa, çocuk kaybolmayabilir ve etrafta dolaşmayabilir.'
 'Zaten alışveriş merkezinde oynayıp oynamadıklarını görün. [title] Çocuğun çocuk olup olmadığını öğrenin.']",wikihow~17625,val,zeroshot,0,"[header] Alışveriş merkezinde bir çocuk nasıl bulunur [title] Çocuğun gerçekten kaybolup kaybolmadığını belirleyin. [adım] Çocukların gerçekten oyunbaz doğaları vardır ve alışveriş merkezleri biraz eğlenmek için birçok fırsat sunar. Çocuğun adını söyleyerek yakın çevrenize bir göz atın.
Şıklar:
A- O, köşede ellerine geçen her şeyle oynuyor olabilir. Hatta bazen eğlenmek için sizden saklanabilirler.
B- Ayrıca çocuğun ebeveynlerinin de sizi götürmesine izin verebilirsiniz, çünkü eğer yüzlerinde bir gülümsemeyle çocuk hakkında sorular sorarlarsa bu daha eğlenceli olabilir. [alt adımlar] Ayrıca çocuğun bir akrabanın yanında mı yaşadığını, adını söyleyerek veya bu kişinin annesi olup olmadığını öğrenin.
C- Bir alışveriş merkezinde çocuk bulma konusunda yardıma ihtiyacınız varsa, örneğin bir okul öğrencisinin koltuk istemesi durumunda, çocuğa çocuğun alışveriş merkezinde nerede yürüdüğünü sorun. Çocuğunuz odasında görünüyorsa, çocuk kaybolmayabilir ve etrafta dolaşmayabilir.
D- Zaten alışveriş merkezinde oynayıp oynamadıklarını görün. [title] Çocuğun çocuk olup olmadığını öğrenin.","O, köşede ellerine geçen her şeyle oynuyor olabilir. Hatta bazen eğlenmek için sizden saklanabilirler.",A
16167,Buzda balık tutmak,Balıkçılık yemleriyle ilgili bir video için ekrana bir tanıtım geliyor.,birkaç adam,Balıkçılık yemleriyle ilgili bir video için ekrana bir tanıtım geliyor. birkaç adam,"['Kamera büyük bir nehrin etrafında dönerken balık yakalamaya çalışırken gösteriliyor.'
 'Buzda balık tutmak için kullandıkları farklı yemleri gösterin.'
 'Karanlıkta balık tutarken ve yemleri suya yerleştirirken ve dalışlarının sonuna doğru giderken çeşitli numaralar yaparken gösteriliyor.'
 'yemlerini yakıp kayalara konan balıkları yakalamaya çalışırken gösteriliyor.']",activitynet~v_OqA83jGQtfg,val,zeroshot,1,"Balıkçılık yemleriyle ilgili bir video için ekrana bir tanıtım geliyor. birkaç adam
Şıklar:
A- Kamera büyük bir nehrin etrafında dönerken balık yakalamaya çalışırken gösteriliyor.
B- Buzda balık tutmak için kullandıkları farklı yemleri gösterin.
C- Karanlıkta balık tutarken ve yemleri suya yerleştirirken ve dalışlarının sonuna doğru giderken çeşitli numaralar yaparken gösteriliyor.
D- yemlerini yakıp kayalara konan balıkları yakalamaya çalışırken gösteriliyor.",Buzda balık tutmak için kullandıkları farklı yemleri gösterin.,B
6938,Capoeira,Birçok insan sahilde. Bir adam suya taklalar atmaya başlar.,o,Birçok insan sahilde. Bir adam suya taklalar atmaya başlar. O,"['snowboard yapıyor.' 'bir köpeğe yaklaşır.'
 'bunu birçok farklı kez yapıyor.' 'daha sonra birkaç rampa daha koşar.']",activitynet~v_dnJLvsqqSgQ,train,indomain,2,"Birçok insan sahilde. Bir adam suya taklalar atmaya başlar. O
Şıklar:
A- snowboard yapıyor.
B- bir köpeğe yaklaşır.
C- bunu birçok farklı kez yapıyor.
D- daha sonra birkaç rampa daha koşar.",bunu birçok farklı kez yapıyor.,C
28661,Ev ve bahçe,"[başlık] Boya renkleri nasıl yapılır [başlık] Boya karıştırma malzemelerini toplayın. [adım] Başlamak için bir palete ve bir boya bıçağına veya fırçaya ihtiyacınız olacak. Boyayı boya bıçağıyla karıştırmak, fırçayla karşılaştırıldığında daha eşit ve tekdüze bir renk elde edilmesini sağlar.",,"[başlık] Boya renkleri nasıl yapılır [başlık] Boya karıştırma malzemelerini toplayın. [adım] Başlamak için bir palete ve bir boya bıçağına veya fırçaya ihtiyacınız olacak. Boyayı boya bıçağıyla karıştırmak, fırçayla karşılaştırıldığında daha eşit ve tekdüze bir renk elde edilmesini sağlar.","['Boyama yüzeyini hazırlamak için bir kovaya veya palete ihtiyacınız olacak. Ayrıca bir ölçüm çubuğuna da ihtiyacınız olacak.'
 '[alt adımlar] Boyayı karıştırmak için fırça kullanıyorsanız, karıştırma arasında fırçaları temizlediğinizden emin olun. Önceki rengin boyasının şu anda karıştırmakta olduğunuz iki renkle karışmasını istemezsiniz.'
 '[alt adımlar] Palet bıçağı, birkaç farklı renkte sunulan ve iki sapı olan daha hafif bir fırçadır. Bıçağın boyayla kullanılması güvenli kabul edilir, ancak camı kırarak, yağlı kağıdı keserek, aynayı silerek veya fırçayı yıkayarak parmaklarınıza boya bulaşma olasılığı yüksektir.'
 'Daha canlı, daha zengin bir ton istiyorsanız az miktarda boya satın almanız gerekecektir. Bu nedenle bir palet bıçağı veya fırça işe yarayacaktır.']",wikihow~47219,val,indomain,1,"[başlık] Boya renkleri nasıl yapılır [başlık] Boya karıştırma malzemelerini toplayın. [adım] Başlamak için bir palete ve bir boya bıçağına veya fırçaya ihtiyacınız olacak. Boyayı boya bıçağıyla karıştırmak, fırçayla karşılaştırıldığında daha eşit ve tekdüze bir renk elde edilmesini sağlar.
Şıklar:
A- Boyama yüzeyini hazırlamak için bir kovaya veya palete ihtiyacınız olacak. Ayrıca bir ölçüm çubuğuna da ihtiyacınız olacak.
B- [alt adımlar] Boyayı karıştırmak için fırça kullanıyorsanız, karıştırma arasında fırçaları temizlediğinizden emin olun. Önceki rengin boyasının şu anda karıştırmakta olduğunuz iki renkle karışmasını istemezsiniz.
C- [alt adımlar] Palet bıçağı, birkaç farklı renkte sunulan ve iki sapı olan daha hafif bir fırçadır. Bıçağın boyayla kullanılması güvenli kabul edilir, ancak camı kırarak, yağlı kağıdı keserek, aynayı silerek veya fırçayı yıkayarak parmaklarınıza boya bulaşma olasılığı yüksektir.
D- Daha canlı, daha zengin bir ton istiyorsanız az miktarda boya satın almanız gerekecektir. Bu nedenle bir palet bıçağı veya fırça işe yarayacaktır.","[alt adımlar] Boyayı karıştırmak için fırça kullanıyorsanız, karıştırma arasında fırçaları temizlediğinizden emin olun. Önceki rengin boyasının şu anda karıştırmakta olduğunuz iki renkle karışmasını istemezsiniz.",B
7389,Yemek ve Eğlence,[header] Biscotti nasıl yapılır [title] Tezgahın üzerinde tereyağını yumuşatın. [adım] Tereyağı yumuşarken yumurtaları oda sıcaklığına kadar ısıtın. [title] Fırınınızı 300 fahrenhayt dereceye (149 santigrat) önceden ısıtın.,,[header] Biscotti nasıl yapılır [title] Tezgahın üzerinde tereyağını yumuşatın. [adım] Tereyağı yumuşarken yumurtaları oda sıcaklığına kadar ısıtın. [title] Fırınınızı 300 fahrenhayt dereceye (149 santigrat) önceden ısıtın.,"['[title] Tereyağını eritmek için tavaya hızla pudra şekeri ekleyin. [adım] Tereyağı yeterince eridiğinde bir tutam tuz ekleyin.'
 '[title] Sıkıştırma tavasını buzdolabından çıkarın. [adım] Bir tereyağı bıçağı kullanarak yumuşatılmış tereyağını 4 eşit parçaya hafifçe dilimleyin.'
 '[title] Karıştırma kabına şekeri ve tereyağını ekleyin. [adım] Karışımı çok hafif olana kadar orta hızda krema haline getirin.'
 '[title] Yumurtaları kırın ve ezin. [adım] Ayrıca yumurtaları bir kaseye bastırıp ezerek macun haline getirebilirsiniz.']",wikihow~12197,train,indomain,2,"[header] Biscotti nasıl yapılır [title] Tezgahın üzerinde tereyağını yumuşatın. [adım] Tereyağı yumuşarken yumurtaları oda sıcaklığına kadar ısıtın. [title] Fırınınızı 300 fahrenhayt dereceye (149 santigrat) önceden ısıtın.
Şıklar:
A- [title] Tereyağını eritmek için tavaya hızla pudra şekeri ekleyin. [adım] Tereyağı yeterince eridiğinde bir tutam tuz ekleyin.
B- [title] Sıkıştırma tavasını buzdolabından çıkarın. [adım] Bir tereyağı bıçağı kullanarak yumuşatılmış tereyağını 4 eşit parçaya hafifçe dilimleyin.
C- [title] Karıştırma kabına şekeri ve tereyağını ekleyin. [adım] Karışımı çok hafif olana kadar orta hızda krema haline getirin.
D- [title] Yumurtaları kırın ve ezin. [adım] Ayrıca yumurtaları bir kaseye bastırıp ezerek macun haline getirebilirsiniz.",[title] Karıştırma kabına şekeri ve tereyağını ekleyin. [adım] Karışımı çok hafif olana kadar orta hızda krema haline getirin.,C
20626,Amigoluk,Amigo kızlar gruptaki bir spor salonunda dururlar.,kızlar,Amigo kızlar gruptaki bir spor salonunda dururlar. kızlar,"['bastonla topa vur.' 'yayılıp yere atlayın.'
 'daha sonra bir rutin gerçekleştirin.'
 'kollarını kaldırın ve tezahürat çizgisine devam edin.']",activitynet~v_4qstg-tiRvQ,train,indomain,2,"Amigo kızlar gruptaki bir spor salonunda dururlar. kızlar
Şıklar:
A- bastonla topa vur.
B- yayılıp yere atlayın.
C- daha sonra bir rutin gerçekleştirin.
D- kollarını kaldırın ve tezahürat çizgisine devam edin.",daha sonra bir rutin gerçekleştirin.,C
23371,Masa Tenisi,"Mavi gömlekli bir adam, bir vitrin odasında hava hokeyi masa oyununun yanında konuşuyor, aralarına dört adamın hava masa hokeyi oyununu gösteren videosu serpiştirilmiş.",bir adam,"Mavi gömlekli bir adam, bir vitrin odasında hava hokeyi masa oyununun yanında konuşuyor, aralarına dört adamın hava masa hokeyi oyununu gösteren videosu serpiştirilmiş. bir adam","['Maviler diski atar ve erkekler diski geri atar.'
 'Mavi gömlekli, duvara dayalı yeşil bir kase ve oyuncuların isimlerinin yazılı olduğu beyaz tahta manzaralı bir vitrin odasındaki masanın yanında konuşuyor.'
 'buz kortunda oturup antrenman yapıyor.'
 'Bir hava hokeyi masa oyununun önünde dururken bir sergi salonundan konuşmaya başlar.']",activitynet~v_cmzEDurFcwI,train,indomain,3,"Mavi gömlekli bir adam, bir vitrin odasında hava hokeyi masa oyununun yanında konuşuyor, aralarına dört adamın hava masa hokeyi oyununu gösteren videosu serpiştirilmiş. bir adam
Şıklar:
A- Maviler diski atar ve erkekler diski geri atar.
B- Mavi gömlekli, duvara dayalı yeşil bir kase ve oyuncuların isimlerinin yazılı olduğu beyaz tahta manzaralı bir vitrin odasındaki masanın yanında konuşuyor.
C- buz kortunda oturup antrenman yapıyor.
D- Bir hava hokeyi masa oyununun önünde dururken bir sergi salonundan konuşmaya başlar.",Bir hava hokeyi masa oyununun önünde dururken bir sergi salonundan konuşmaya başlar.,D
21722,Bisiklet tamiri,Bir adam bir bisikletle rafın üzerinde duruyor ve tekerlekler de dahil olmak üzere bisikletin farklı parçalarını ve özelliklerini gösteriyor.,adam,Bir adam bir bisikletle rafın üzerinde duruyor ve tekerlekler de dahil olmak üzere bisikletin farklı parçalarını ve özelliklerini gösteriyor. adam,"['bisikleti çalıştırır ve zamanlayıcı kapanır.'
 'krankı döndürür ve tekerlek bisikletin üzerinde döner.'
 'Daha sonra alüminyum aparatı monte ederek kulpları, tekerlekleri ve bağlantı dişlilerini tek bir yerden sökmeye başlar.'
 'sabun ve sünger sürerek iyice dezenfekte eder.']",activitynet~v_HzmT-lvHrpM,train,indomain,1,"Bir adam bir bisikletle rafın üzerinde duruyor ve tekerlekler de dahil olmak üzere bisikletin farklı parçalarını ve özelliklerini gösteriyor. adam
Şıklar:
A- bisikleti çalıştırır ve zamanlayıcı kapanır.
B- krankı döndürür ve tekerlek bisikletin üzerinde döner.
C- Daha sonra alüminyum aparatı monte ederek kulpları, tekerlekleri ve bağlantı dişlilerini tek bir yerden sökmeye başlar.
D- sabun ve sünger sürerek iyice dezenfekte eder.",krankı döndürür ve tekerlek bisikletin üzerinde döner.,B
