question,true_short_answer,predicted_short_answer
"Günümüzde pek çok araba, geçmişte üretilenlere göre daha iyi yakıt tüketimi sağlayacak şekilde tasarlanmıştır. Bu değişiklik bir ihtiyaçtan kaynaklanmıştır.
Şıklar:
1. geri dönüşüm malzemeleri
2. güvenliği artırmak
3. kimyasallar üretmek
4. kaynakları koru",4,4.
"Hangi diyagram enerjinin basit bir besin zincirinde nasıl aktığını en iyi şekilde gösterir?
Şıklar:
A. Yapraklar -> Tırtıl -> Kuş
B. Ağaç -> Kuş -> Tırtıl
C. Yapraklar -> Ağaç -> Tırtıl
D. Tırtıl -> Yapraklar -> Kuş",A,C
"Suyun sıcaklığı 10° Celsius'tan -10° Celsius'a değiştiğinde ne olur?
Şıklar:
A. Su katı halden gaz haline dönüşür.
B. Su sıvı halden gaz haline dönüşür.
C. Su sıvı halden katı hale dönüşür.
D. Su katı halden sıvı hale dönüşür.",C,C
"Suyun bir kısmı tüketime yöneliktir. Su, kaynağına dönmek yerine rezervuarlardan buharlaşıyor veya mahsullerden çıkıyor. Bu tür bir kullanım hidrosferi büyük olasılıkla nasıl etkiler?
Şıklar:
A. Dünyadaki toplam su miktarını azaltarak
B. Suyun Dünya sistemindeki yollarını değiştirerek
C. Suyu su döngüsünde farklı aşamalara kaydırarak
D. su döngüsünü değiştirecek şekilde iklimi etkileyerek",C,C
"Aşağıdakilerden hangisi insanın kazanılmış bir özelliğidir?
Şıklar:
A. Göz rengi
B. Saç rengi
C. Yükseklik
D. Sözlü vurgu",D,D
"Beş bowling topu pürüzsüz bir yüzey üzerinde birbirine değecek şekilde sıralanıyor. İlk topa çekiçle vurmak beşinci topun gruptan uzaklaşmasına neden olur. Çekicin kuvveti, topların oluşturduğu çizgi boyunca ne tür bir dalga olarak iletildi?
Şıklar:
A. elektromanyetik
B. sıcaklık
C. boyuna
D. enine",C,C
"Fayansla kaplı bir zemin neden halıyla kaplı bir zeminden daha soğuk hissettirir?
Şıklar:
A. Karo zemin halıdan daha soğuktur.
B. Karo zemin ısıyı halıya göre daha iyi iletir.
C. Halı ısıyı karo zemine göre daha iyi iletir.
D. Karo zemin halıdan daha iyi bir yalıtkandır.",B,D
"Yerin derinliklerinde bulunan kayaların bir zamanlar yüzeye çıktığının en iyi kanıtı hangisidir?
Şıklar:
A. Kayalar magmanın etkisiyle erimiş.
B. Kayalar faylar nedeniyle kırılmış.
C. Kayalar su nedeniyle aşınmış.
D. Kayalar basınçtan dolayı kıvrılmıştır.",C,C
"Bir öğrenci el fenerini farklı renkteki kağıtlara tutuyor. Hangi renk kağıt en fazla ışığı emer?
Şıklar:
A. Kırmızı
B. Siyah
C. Beyaz
D. Sarı",B,B
"Yer çekiminin Dünya üzerindeki çekimi doğrudan bir sonucudur.
Şıklar:
A. Dünya'nın kütlesi.
B. Dünyanın manyetik alanı.
C. Dünyanın kendi ekseni etrafında dönmesi.
D. Dünya atmosferinin ağırlığı.",A,A.
"Cıva ve altının ikisi de metaldir. Altının aksine cıva, oda sıcaklığında sıvı halde olduğundan takı yapımında kullanılamaz. Maddenin hal farkı hangi mülkiyet türüne örnektir?
Şıklar:
A. kimyasal
B. elektriksel
C. nükleer
D. fiziksel",D,D
