id,question,choices,answerKey,answer
NYSEDREGENTS_2008_8_9,"Günümüzde pek çok araba, geçmişte üretilenlere göre daha iyi yakıt tüketimi sağlayacak şekilde tasarlanmıştır. Bu değişiklik bir ihtiyaçtan kaynaklanmıştır.
Şıklar:
1. geri dönüşüm malzemeleri
2. güvenliği artırmak
3. kimyasallar üretmek
4. kaynakları koru","{'text': ['geri dönüşüm malzemeleri', 'güvenliği artırmak', 'kimyasallar üretmek', 'kaynakları koru'], 'label': ['1', '2', '3', '4']}",4,kaynakları koru
Mercury_SC_407674,"Hangi diyagram enerjinin basit bir besin zincirinde nasıl aktığını en iyi şekilde gösterir?
Şıklar:
A. Yapraklar -> Tırtıl -> Kuş
B. Ağaç -> Kuş -> Tırtıl
C. Yapraklar -> Ağaç -> Tırtıl
D. Tırtıl -> Yapraklar -> Kuş","{'text': ['Yapraklar -> Tırtıl -> Kuş', 'Ağaç -> Kuş -> Tırtıl', 'Yapraklar -> Ağaç -> Tırtıl', 'Tırtıl -> Yapraklar -> Kuş'], 'label': ['A', 'B', 'C', 'D']}",A,Yapraklar -> Tırtıl -> Kuş
LEAP__5_10315,"Suyun sıcaklığı 10° Celsius'tan -10° Celsius'a değiştiğinde ne olur?
Şıklar:
A. Su katı halden gaz haline dönüşür.
B. Su sıvı halden gaz haline dönüşür.
C. Su sıvı halden katı hale dönüşür.
D. Su katı halden sıvı hale dönüşür.","{'text': ['Su katı halden gaz haline dönüşür.', 'Su sıvı halden gaz haline dönüşür.', 'Su sıvı halden katı hale dönüşür.', 'Su katı halden sıvı hale dönüşür.'], 'label': ['A', 'B', 'C', 'D']}",C,Su sıvı halden katı hale dönüşür.
Mercury_7233748,"Suyun bir kısmı tüketime yöneliktir. Su, kaynağına dönmek yerine rezervuarlardan buharlaşıyor veya mahsullerden çıkıyor. Bu tür bir kullanım hidrosferi büyük olasılıkla nasıl etkiler?
Şıklar:
A. Dünyadaki toplam su miktarını azaltarak
B. Suyun Dünya sistemindeki yollarını değiştirerek
C. Suyu su döngüsünde farklı aşamalara kaydırarak
D. su döngüsünü değiştirecek şekilde iklimi etkileyerek","{'text': ['Dünyadaki toplam su miktarını azaltarak', 'Suyun Dünya sistemindeki yollarını değiştirerek', 'Suyu su döngüsünde farklı aşamalara kaydırarak', 'su döngüsünü değiştirecek şekilde iklimi etkileyerek'], 'label': ['A', 'B', 'C', 'D']}",C,Suyu su döngüsünde farklı aşamalara kaydırarak
WASL_2005_8_11,"Aşağıdakilerden hangisi insanın kazanılmış bir özelliğidir?
Şıklar:
A. Göz rengi
B. Saç rengi
C. Yükseklik
D. Sözlü vurgu","{'text': ['Göz rengi', 'Saç rengi', 'Yükseklik', 'Sözlü vurgu'], 'label': ['A', 'B', 'C', 'D']}",D,Sözlü vurgu
MCAS_2005_9_17,"Beş bowling topu pürüzsüz bir yüzey üzerinde birbirine değecek şekilde sıralanıyor. İlk topa çekiçle vurmak beşinci topun gruptan uzaklaşmasına neden olur. Çekicin kuvveti, topların oluşturduğu çizgi boyunca ne tür bir dalga olarak iletildi?
Şıklar:
A. elektromanyetik
B. sıcaklık
C. boyuna
D. enine","{'text': ['elektromanyetik', 'sıcaklık', 'boyuna', 'enine'], 'label': ['A', 'B', 'C', 'D']}",C,boyuna
Mercury_7029803,"Fayansla kaplı bir zemin neden halıyla kaplı bir zeminden daha soğuk hissettirir?
Şıklar:
A. Karo zemin halıdan daha soğuktur.
B. Karo zemin ısıyı halıya göre daha iyi iletir.
C. Halı ısıyı karo zemine göre daha iyi iletir.
D. Karo zemin halıdan daha iyi bir yalıtkandır.","{'text': ['Karo zemin halıdan daha soğuktur.', 'Karo zemin ısıyı halıya göre daha iyi iletir.', 'Halı ısıyı karo zemine göre daha iyi iletir.', 'Karo zemin halıdan daha iyi bir yalıtkandır.'], 'label': ['A', 'B', 'C', 'D']}",B,Karo zemin ısıyı halıya göre daha iyi iletir.
Mercury_7207218,"Yerin derinliklerinde bulunan kayaların bir zamanlar yüzeye çıktığının en iyi kanıtı hangisidir?
Şıklar:
A. Kayalar magmanın etkisiyle erimiş.
B. Kayalar faylar nedeniyle kırılmış.
C. Kayalar su nedeniyle aşınmış.
D. Kayalar basınçtan dolayı kıvrılmıştır.","{'text': ['Kayalar magmanın etkisiyle erimiş.', 'Kayalar faylar nedeniyle kırılmış.', 'Kayalar su nedeniyle aşınmış.', 'Kayalar basınçtan dolayı kıvrılmıştır.'], 'label': ['A', 'B', 'C', 'D']}",C,Kayalar su nedeniyle aşınmış.
ACTAAP_2009_5_12,"Bir öğrenci el fenerini farklı renkteki kağıtlara tutuyor. Hangi renk kağıt en fazla ışığı emer?
Şıklar:
A. Kırmızı
B. Siyah
C. Beyaz
D. Sarı","{'text': ['Kırmızı', 'Siyah', 'Beyaz', 'Sarı'], 'label': ['A', 'B', 'C', 'D']}",B,Siyah
MCAS_2003_8_14,"Yer çekiminin Dünya üzerindeki çekimi doğrudan bir sonucudur.
Şıklar:
A. Dünya'nın kütlesi.
B. Dünyanın manyetik alanı.
C. Dünyanın kendi ekseni etrafında dönmesi.
D. Dünya atmosferinin ağırlığı.","{'text': [""Dünya'nın kütlesi."", 'Dünyanın manyetik alanı.', 'Dünyanın kendi ekseni etrafında dönmesi.', 'Dünya atmosferinin ağırlığı.'], 'label': ['A', 'B', 'C', 'D']}",A,Dünya'nın kütlesi.
